테마,종목명,거래량,현재가,YAHOO_TICKER,대표여부
배당,PLUS고배당주위클리고정커버드..,270568.0,"12,335",161510.KS,X
배당,RISE고배당,104945.0,"20,380",266160.KS,X
배당,TIGER코스피고배당,62804.0,"20,300",277630.KS,X
배당,RISE대형고배당10TR,59516.0,"37,545",315960.KS,X
배당,KODEX코리아배당성장,58190.0,"22,185",211900.KS,X
배당,KIWOOM고배당,50653.0,"16,145",104530.KS,X
배당,TIGER코리아배당다우존스위클리..,45466.0,"10,495",0052D0.KS,X
배당,TIGER배당성장,38420.0,"27,620",211560.KS,X
배당,PLUS미국배당증가성장주데일리..,23901.0,"9,890",000nan.KS,X
배당,PLUS고배당저변동50,17077.0,"16,250",251590.KS,X
배당,HANAROK고배당,15288.0,"18,670",322410.KS,X
배당,KODEX배당가치,14681.0,"19,515",325020.KS,X
배당,TIGERMKF배당귀족,3784.0,"16,820",445910.KS,X
배당,RISE중소형고배당,2876.0,"15,755",281990.KS,X
배당,파워고배당저변동성,600.0,"47,550",192720.KS,X
배당,RISEKQ고배당,413.0,"13,730",270800.KS,X
배당/커버드콜,KODEX200타겟위클리커버드콜,6345128.0,"13,875",498400.KS,O
배당/커버드콜,TIGER200타겟위클리커버드콜,343065.0,"12,220",102110.KS,X
성장주,KODEX성장주,1374.0,"23,890",325010.KS,O
성장주,PLUSESG성장주액티브,556.0,"13,290",395760.KS,X
소재/산업재,TIGER200에너지화학,183842.0,"15,315",102110.KS,O
소재/산업재,KODEX에너지화학,128369.0,"14,395",117460.KS,X
소재/산업재,KODEX철강,118608.0,"11,815",117680.KS,X
소재/산업재,TIGER200에너지화학레버리지,87331.0,"8,295",102110.KS,X
소재/산업재,TIGER200철강소재,24995.0,"11,825",102110.KS,X
시장대표형,TIGER코스피대형주,32347.0,"21,530",277640.KS,O
시장대표형,KODEX코스피대형주,26571.0,"20,755",226490.KS,X
시장대표형,KODEX코스닥150롱코스피200숏선..,10353.0,"7,080",229200.KS,X
시장대표형,TIGER코스피중형주,635.0,"19,605",277650.KS,X
액티브ETF,KoActK수출핵심기업TOP30액티브,298724.0,"12,450",0074K0.KS,O
액티브ETF,TIMEFOLIOK컬처액티브,201911.0,"11,200",410870.KS,X
액티브ETF,TIMEFOLIOK이노베이션액티브,120828.0,"10,050",385710.KS,X
액티브ETF,ACE라이프자산주주가치액티브,31707.0,"15,290",494330.KS,X
액티브ETF,TIGER퓨처모빌리티액티브,9937.0,"10,120",387280.KS,X
액티브ETF,BNK미래전략기술액티브,2015.0,"19,630",457930.KS,X
액티브ETF,KODEX코리아혁신성장액티브,519.0,"17,920",373490.KS,X
액티브ETF,BNK주주가치액티브,370.0,"21,410",445690.KS,X
액티브ETF,더제이중소형포커스액티브,296.0,"11,035",0053M0.KS,X
액티브ETF,파워K-주주가치액티브,113.0,"14,265",491510.KS,X
액티브ETF,UNICORN포스트IPO액티브,89.0,"11,120",476000.KS,X
액티브ETF,마이다스중소형액티브,37.0,"30,555",438740.KS,X
에너지,TIGER코리아원자력,1347669.0,"10,255",0091P0.KS,O
에너지,HANARO원자력iSelect,647203.0,"50,065",434730.KS,X
에너지,KODEXK원자력SMR,468231.0,"10,445",0098F0.KS,X
에너지,HANARO전력설비투자,199291.0,"30,945",491820.KS,X
에너지,KODEX신재생에너지액티브,174082.0,"30,625",385510.KS,X
에너지,SOL한국원자력SMR,155588.0,"10,635",0092B0.KS,X
에너지,TIGERFn신재생에너지,113665.0,"19,100",377990.KS,X
에너지,RISE수소경제테마,92086.0,"18,050",367770.KS,X
에너지,PLUS태양광&ESS,75308.0,"23,300",457990.KS,X
에너지,ACE원자력TOP10,68462.0,"40,280",433500.KS,X
에너지,KODEX필수소비재,13346.0,"8,125",266410.KS,X
에너지,TIMEFOLIOK신재생에너지액티브,6961.0,"17,880",404120.KS,X
에너지,HANAROFn전기&수소차,6259.0,"10,190",381560.KS,X
에너지,HANAROFn친환경에너지,6024.0,"8,825",381570.KS,X
인공지능,KODEXAI전력핵심설비,3975062.0,"25,700",487240.KS,O
인공지능,TIGER코리아AI전력기기TOP3플러..,3825412.0,"13,630",000nan.KS,X
인공지능,KODEX코리아소버린AI,813563.0,"10,965",0115E0.KS,X
인공지능,RISEAI&로봇,722852.0,"11,845",469070.KS,X
인공지능,RISEAI전력인프라,382937.0,"13,350",0101N0.KS,X
인공지능,1QK소버린AI,217781.0,"10,440",0103T0.KS,X
인공지능,SOL한국AI소프트웨어,185734.0,"10,475",0105D0.KS,X
인공지능,KoActAI인프라액티브,150589.0,"16,325",487130.KS,X
인공지능,KIWOOM의료AI,75479.0,"13,565",483020.KS,X
인공지능,BNK온디바이스AI,8971.0,"13,775",487750.KS,X
인공지능,UNICORN생성형AI강소기업액티브,3447.0,"11,490",470310.KS,X
인공지능,WONAIESG액티브,1744.0,"15,815",413930.KS,X
일반형ETF,TIGERTOP10,1261221.0,"20,100",292150.KS,O
일반형ETF,SOL화장품TOP3플러스,725373.0,"12,400",0008T0.KS,X
일반형ETF,TIGER인터넷TOP10,466278.0,"4,925",365000.KS,X
일반형ETF,RISE내수주플러스,8948.0,"10,485",326230.KS,X
일반형ETF,에셋플러스코리아대장장이액티..,4911.0,"19,560",000nan.KS,X
일반형ETF,KODEXK-뉴딜디지털플러스,2781.0,"9,225",368680.KS,X
일반형ETF,RISE컨택트대표,811.0,"7,210",388280.KS,X
일반형ETF,ACEFn5G플러스,454.0,"15,275",380340.KS,X
일반형ETF,KODEX200exTOP,207.0,"20,660",337150.KS,X
일반형ETF,RISE우량업종대표주,161.0,"17,840",140580.KS,X
자동차,KODEX자동차,1590744.0,"22,540",091180.KS,O
자동차,SOL자동차TOP3플러스,154478.0,"13,715",466930.KS,X
자동차,KODEX자율주행액티브,23061.0,"10,655",385520.KS,X
자동차,SOL자동차소부장Fn,8857.0,"11,580",464600.KS,X
전략형/스타일ETF,UNICORNSK하이닉스밸류체인액티..,252194.0,"21,505",000nan.KS,O
전략형/스타일ETF,RISE코리아밸류업위클리고정커..,211271.0,"12,960",495050.KS,X
전략형/스타일ETF,KODEX삼성그룹밸류,42796.0,"12,600",102780.KS,X
전략형/스타일ETF,TIGER모멘텀,7345.0,"52,600",147970.KS,X
전략형/스타일ETF,KODEX밸류Plus,4210.0,"10,540",244670.KS,X
전략형/스타일ETF,KODEX200가치저변동,2348.0,"17,450",223190.KS,X
전략형/스타일ETF,KODEX모멘텀주,1146.0,"23,475",275280.KS,X
전략형/스타일ETF,KODEX모멘텀Plus,591.0,"15,010",244620.KS,X
전략형/스타일ETF,RISEV&S셀렉트밸류,37.0,"19,760",234310.KS,X
전략형/스타일ETF,KODEX퀄리티Plus,33.0,"9,335",244660.KS,X
전략형/스타일ETF,KODEX멀티팩터,1.0,"20,090",337120.KS,X
전자/IT,TIGER코스닥150바이오테크,418092.0,"18,400",232080.KS,O
전자/IT,TIGER소프트웨어,391417.0,"9,965",157490.KS,X
전자/IT,TIGER200IT,352659.0,"54,695",102110.KS,X
전자/IT,SOL코리아메가테크액티브,300048.0,"31,190",444200.KS,X
전자/IT,RISE5G테크,139849.0,"21,095",367760.KS,X
전자/IT,KODEXIT,119670.0,"29,155",266370.KS,X
전자/IT,TIGER코리아테크액티브,80527.0,"17,025",471780.KS,X
전자/IT,TIGER방송통신,67942.0,"8,155",098560.KS,X
전자/IT,RISEIT플러스,60566.0,"24,530",326240.KS,X
전자/IT,KODEX200ITTR,45687.0,"21,560",363580.KS,X
전자/IT,TIGER200IT레버리지,36280.0,"91,690",102110.KS,X
전자/IT,RISE플랫폼테마,14434.0,"7,685",427120.KS,X
전자/IT,TIGER코스닥150IT,10823.0,"17,115",232080.KS,X
전자/IT,에셋플러스코리아플랫폼액티브,4513.0,"7,830",407820.KS,X
전자/IT,KoAct테크핵심소재공급망액티브,3550.0,"9,385",482030.KS,X
전자/IT,KIWOOMK-테크TOP10,3042.0,"19,445",469790.KS,X
전자/IT,VITAMZ소비액티브,837.0,"9,580",422260.KS,X
전자/IT,VITA밸류알파액티브,64.0,"16,560",452440.KS,X
조선/해운,SOL조선TOP3플러스,1462004.0,"35,110",466920.KS,O
조선/해운,TIGER조선TOP10,1128246.0,"27,710",494670.KS,X
조선/해운,KODEXK조선TOP10,542624.0,"9,485",0115D0.KS,X
조선/해운,SOL조선TOP3플러스레버리지,536674.0,"19,320",0080Y0.KS,X
조선/해운,HANAROFn조선해운,65750.0,"30,850",441540.KS,X
조선/해운,KODEX친환경조선해운액티브,33780.0,"30,980",445150.KS,X
콘텐츠,ACEKPOP포커스,1285959.0,"10,705",475050.KS,O
콘텐츠,TIGER게임TOP10,987083.0,"5,665",364990.KS,X
콘텐츠,KODEX게임산업,364677.0,"6,815",300950.KS,X
콘텐츠,KODEXK콘텐츠,76714.0,"13,705",266360.KS,X
콘텐츠,TIGERK게임,74048.0,"6,940",300610.KS,X
콘텐츠,RISE게임테마,56926.0,"8,230",300640.KS,X
콘텐츠,HANAROFnK-게임,53540.0,"4,190",395280.KS,X
해외(미국),WONK-글로벌수급상위,92905.0,"11,040",0088N0.KS,O
해외(미국),PLUS한화그룹주,83915.0,"26,150",0000J0.KS,X
해외(미국),PLUS주도업종,331.0,"16,165",280920.KS,X
해외(미국),PLUS중형주저변동50,114.0,"15,735",266550.KS,X
해외(미국),HKS&P코리아로우볼,2.0,"16,230",215620.KS,X
해외(신흥국),KODEX인도Nifty미드캡100,8273.0,"11,575",0000H0.KS,O
해외(일본),TIGER200커뮤니케이션서비스,1173.0,"22,380",102110.KS,O
해외(중국),TIGER중국소비테마,113331.0,"7,400",150460.KS,O
헬스케어,TIGER헬스케어,404321.0,"47,515",143860.KS,O
헬스케어,KODEX헬스케어,225853.0,"21,545",266420.KS,X
헬스케어,TIGER200헬스케어,133556.0,"22,500",102110.KS,X
헬스케어,SOL의료기기소부장Fn,103892.0,"10,900",464610.KS,X
헬스케어,RISE헬스케어,37432.0,"16,780",253280.KS,X
헬스케어,TIGER의료기기,4360.0,"18,055",307510.KS,X
